40,22,1280,15
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,03,02,03,03,02,02,01,01,03,02,02,03,02,02,03,02,03,02,02,00,03,02,02,03,02,03,03,02,02,03,02,03,03,02,02,02,03,02,19
19,02,18,02,03,03,02,02,02,02,02,02,03,02,02,03,02,02,02,03,02,02,02,02,18,02,02,02,03,02,02,02,02,02,02,03,02,03,02,19
19,03,03,18,02,03,02,02,02,02,03,02,02,01,03,02,02,03,02,03,02,02,03,18,03,02,02,02,02,01,02,02,01,02,02,03,02,03,11,19
19,02,02,02,18,03,02,02,03,02,01,11,02,02,02,02,02,03,02,01,02,02,18,03,02,01,01,02,02,02,02,02,03,03,03,03,02,02,03,19
19,02,03,03,02,18,03,03,02,02,02,01,03,02,02,03,02,03,02,02,02,18,03,02,01,03,02,02,02,02,02,02,03,03,03,03,02,02,03,19
19,02,01,03,02,02,18,03,02,02,03,02,03,01,02,02,03,02,03,03,18,02,02,02,01,03,03,03,02,01,02,02,02,03,03,03,02,02,03,19
19,02,02,02,03,03,02,18,02,01,11,02,02,03,02,02,03,02,03,18,02,02,02,02,02,03,02,03,03,02,02,02,02,03,02,03,03,02,02,19
19,02,02,03,02,03,02,02,18,02,03,03,02,02,02,02,01,02,18,02,02,02,03,02,02,01,03,03,03,02,02,03,02,03,02,02,03,02,02,19
19,02,02,02,01,02,03,03,02,18,02,02,02,02,03,02,01,18,11,03,03,02,01,02,02,02,03,03,03,02,02,03,02,03,02,02,02,01,03,19
19,03,02,03,02,02,02,03,02,03,18,02,02,02,02,02,18,03,02,02,03,02,01,02,03,02,02,02,02,03,02,01,01,02,02,03,02,03,03,19
19,02,02,02,02,02,02,03,02,03,03,18,02,02,02,18,02,01,02,02,03,03,02,02,03,02,02,02,02,01,02,02,02,03,02,02,02,02,02,19
19,02,03,03,02,02,02,02,02,02,03,02,02,02,02,03,02,02,02,03,02,02,03,02,03,01,02,02,03,02,03,03,02,02,02,01,03,02,02,19
19,02,03,03,02,02,02,02,02,02,03,02,20,20,20,02,02,03,02,02,02,02,03,02,02,02,03,02,02,02,02,02,02,03,02,03,03,02,02,19
19,02,02,03,02,02,02,01,03,02,02,02,03,02,02,03,02,03,02,02,03,02,03,03,02,02,02,01,02,02,02,02,02,03,02,03,03,02,02,19
19,02,02,03,02,02,03,02,01,02,03,02,02,02,02,03,02,02,02,02,02,03,02,01,01,02,02,02,02,02,02,03,03,03,02,02,03,02,01,19
19,03,02,02,01,03,02,02,02,02,03,02,02,03,02,03,02,02,02,02,03,02,01,01,02,02,02,02,02,02,02,03,03,03,02,02,03,02,02,19
19,03,02,02,02,03,02,02,03,02,01,01,02,02,03,02,01,01,02,02,02,02,01,03,03,03,03,02,02,03,02,03,02,03,03,02,02,03,03,19
19,02,01,03,02,02,11,01,03,02,02,02,02,03,02,03,03,02,02,02,02,02,02,03,03,03,03,02,02,03,02,01,02,03,03,02,02,01,03,19
19,03,02,03,03,02,02,03,02,03,03,02,02,02,01,02,03,02,03,02,01,02,02,02,03,03,03,02,02,03,02,02,02,02,01,02,02,02,03,19
19,02,02,02,03,03,02,03,02,03,03,02,02,02,01,02,03,02,03,02,07,02,02,02,03,02,03,02,02,03,02,03,02,02,02,02,03,02,02,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
