20,12,1280,16
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,03,11,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,03,19
19,00,03,11,02,02,02,02,02,02,02,02,02,02,02,02,02,03,07,19
19,05,02,03,11,02,02,02,02,02,02,02,02,02,02,02,03,02,05,19
19,03,05,02,03,11,02,02,02,02,02,02,02,02,02,03,02,05,03,19
19,02,03,05,02,03,11,02,02,02,02,02,02,02,03,02,05,03,02,19
19,02,02,03,05,02,03,11,02,02,02,02,02,03,02,05,03,02,02,19
19,02,02,02,03,05,02,03,11,02,02,02,03,02,05,03,02,02,02,19
19,02,02,02,02,03,05,02,03,11,02,03,02,05,03,02,02,02,02,19
19,02,02,02,02,02,03,05,02,03,03,02,05,03,02,02,02,02,02,19
19,02,02,02,02,02,02,03,05,02,02,05,03,02,02,02,02,02,02,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
